video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7.377033580620434e+18,2024-06-05T09:58:08,357.0,US,877000.0,97300.0,19600.0,10100000.0,Replying to @Edwige Mabidi🦋⚖️✨️ 5-Year-Old Chrisyius Whitehead Is A Drumming SAVANT! #americansgottalent #agt2024 #simoncowell #drums #kid #wow #drummer #drummersoftiktok ,False,,captain.kwame,Captain_kwame,,,,,,False,My Happy Place,United States,Laguna Beach
7.371410782774676e+18,2024-05-21T06:19:08,61.0,US,1900000.0,455900.0,8714.0,21400000.0,I had no idea about this. #hotel #tips #nowyouknow #momsoftiktok #momtips ,False,,janelleandkate,Janelle & Kate,,,,,,False,,,
7.364917371108118e+18,2024-05-03T18:22:22,7.0,US,1000000.0,199500.0,3336.0,4400000.0,,False,,kaedenstephens,Itssss_.kk,,,,,,False,,,
7.324835207478005e+18,2024-01-16T17:01:55,61.0,US,604400.0,1076.0,911.0,8000000.0,A perfect working day at the new construction site #construction #constructionsite #adamrose #adamrose99 #funny #funnyvideos ,False,,adamrose99,Fan Adam A.R👷‍♂,,,,,,False,New York,New York, United States
7.363724769927106e+18,2024-04-30T13:13:08,6.0,US,443000.0,30400.0,1090.0,3900000.0,I love him i swear! Vc: @brandon  . #gaytiktok #mlm #couplescomedy #relationships ,False,,slamdrew6,SlamDrew,,,,,,False,,,
7.362180702143679e+18,2024-04-26T09:21:34,8.0,US,4000000.0,328200.0,8545.0,27400000.0,i have too many video to go with this trend bro🤣 #foryou #fyp #playthatfunkymusicwhiteboy #greenscreenvideo ,False,,drtymoneyg,gracie,,,,,,False,,,
7.369340768223317e+18,2024-05-15T16:26:07,7.0,US,1200000.0,557900.0,13300.0,12500000.0,The struggle 😅 @Erin Davis Gonce @Matthew Gonce ,False,,emilywatts5,Emily,,,,,,False,South Carolina,United States,
7.366339609472552e+18,2024-05-07T14:20:06,521.0,US,51400.0,520.0,294.0,1900000.0,#@🦋princesse Lovah🦋🇭🇹 🇬🇵  ,False,,realitytvmovies7,Reality TV movies show,,,,,,False,I Love You,350 5th Ave, New York
7.364877934630325e+18,2024-05-03T15:48:00,9.0,US,1600000.0,20300.0,1408.0,19500000.0,,False,,brookemonk_,Brooke Monk,,,,,,True,,,
7.365251878214454e+18,2024-05-04T15:59:08,8.0,US,12300000.0,211000.0,58000.0,123700000.0,,False,,brookemonk_,Brooke Monk,,,,,,True,,,
